time,unique_id,factor_tag,value
2014-12-26,000140.SH,alpha_110,0.0
2014-12-26,000300.SH,alpha_110,0.0
2014-12-26,000510.CSI,alpha_110,0.0
2014-12-26,000852.SH,alpha_110,0.0
2014-12-26,000905.SH,alpha_110,0.0
2014-12-26,000906.SH,alpha_110,0.0
2014-12-26,000928.SH,alpha_110,0.0
2014-12-26,932000.CSI,alpha_110,0.0
2014-12-26,Au9999.SGE,alpha_110,0.0
2014-12-29,000140.SH,alpha_110,0.1111111111111111
2014-12-29,000300.SH,alpha_110,0.7777777777777778
2014-12-29,000510.CSI,alpha_110,0.8888888888888888
2014-12-29,000852.SH,alpha_110,0.5555555555555556
2014-12-29,000905.SH,alpha_110,0.6666666666666666
2014-12-29,000906.SH,alpha_110,1.0
2014-12-29,000928.SH,alpha_110,0.4444444444444444
2014-12-29,932000.CSI,alpha_110,0.3333333333333333
2014-12-29,Au9999.SGE,alpha_110,0.2222222222222222
2014-12-30,000140.SH,alpha_110,0.3333333333333333
2014-12-30,000300.SH,alpha_110,0.8888888888888888
2014-12-30,000510.CSI,alpha_110,0.7777777777777778
2014-12-30,000852.SH,alpha_110,0.5555555555555556
2014-12-30,000905.SH,alpha_110,0.6666666666666666
2014-12-30,000906.SH,alpha_110,1.0
2014-12-30,000928.SH,alpha_110,0.4444444444444444
2014-12-30,932000.CSI,alpha_110,0.2222222222222222
2014-12-30,Au9999.SGE,alpha_110,0.1111111111111111
2014-12-31,000140.SH,alpha_110,0.4444444444444444
2014-12-31,000300.SH,alpha_110,0.8888888888888888
2014-12-31,000510.CSI,alpha_110,0.7777777777777778
2014-12-31,000852.SH,alpha_110,0.5555555555555556
2014-12-31,000905.SH,alpha_110,0.6666666666666666
2014-12-31,000906.SH,alpha_110,1.0
2014-12-31,000928.SH,alpha_110,0.3333333333333333
2014-12-31,930050.CSI,alpha_110,0.0
2014-12-31,931071.CSI,alpha_110,0.0
2014-12-31,932000.CSI,alpha_110,0.2222222222222222
2014-12-31,Au9999.SGE,alpha_110,0.1111111111111111
2015-01-05,000140.SH,alpha_110,0.36363636363636365
2015-01-05,000300.SH,alpha_110,0.9090909090909091
2015-01-05,000510.CSI,alpha_110,0.8181818181818182
2015-01-05,000852.SH,alpha_110,0.5454545454545454
2015-01-05,000905.SH,alpha_110,0.6363636363636364
2015-01-05,000906.SH,alpha_110,1.0
2015-01-05,000928.SH,alpha_110,0.45454545454545453
2015-01-05,930050.CSI,alpha_110,0.7272727272727273
2015-01-05,931071.CSI,alpha_110,0.2727272727272727
2015-01-05,932000.CSI,alpha_110,0.09090909090909091
2015-01-05,Au9999.SGE,alpha_110,0.18181818181818182
2015-01-06,000140.SH,alpha_110,0.36363636363636365
2015-01-06,000300.SH,alpha_110,0.8181818181818182
2015-01-06,000510.CSI,alpha_110,0.9090909090909091
2015-01-06,000852.SH,alpha_110,0.45454545454545453
2015-01-06,000905.SH,alpha_110,0.6363636363636364
2015-01-06,000906.SH,alpha_110,1.0
2015-01-06,000928.SH,alpha_110,0.5454545454545454
2015-01-06,930050.CSI,alpha_110,0.7272727272727273
2015-01-06,931071.CSI,alpha_110,0.2727272727272727
2015-01-06,932000.CSI,alpha_110,0.09090909090909091
2015-01-06,Au9999.SGE,alpha_110,0.18181818181818182
2015-01-07,000140.SH,alpha_110,0.36363636363636365
2015-01-07,000300.SH,alpha_110,0.8181818181818182
2015-01-07,000510.CSI,alpha_110,0.9090909090909091
2015-01-07,000852.SH,alpha_110,0.45454545454545453
2015-01-07,000905.SH,alpha_110,0.6363636363636364
2015-01-07,000906.SH,alpha_110,1.0
