unique_id,factor_tag,ric,sample_count,start_date,end_date,abs_ric
000140.SH,alpha084,-0.17639313558103042,1218,2016-01-04,2020-12-31,0.17639313558103042
000510.CSI,alpha054,0.09473971755883118,1218,2016-01-04,2020-12-31,0.09473971755883118
000510.CSI,alpha055,-0.09358951934423666,1218,2016-01-04,2020-12-31,0.09358951934423666
000906.SH,alpha054,0.08903965902250575,1218,2016-01-04,2020-12-31,0.08903965902250575
000852.SH,alpha065,0.08577241027244559,1218,2016-01-04,2020-12-31,0.08577241027244559
000906.SH,alpha022,0.08538651324350008,1198,2016-01-04,2020-12-31,0.08538651324350008
000140.SH,alpha065,-0.08507651120026095,1218,2016-01-04,2020-12-31,0.08507651120026095
000300.SH,alpha054,0.08400179808603556,1218,2016-01-04,2020-12-31,0.08400179808603556
931071.CSI,alpha032,0.08346887447912275,1218,2016-01-04,2020-12-31,0.08346887447912275
Au9999.SGE,alpha073,-0.08130915318152318,1218,2016-01-04,2020-12-31,0.08130915318152318
000140.SH,alpha026,-0.0807610696837563,1218,2016-01-04,2020-12-31,0.0807610696837563
000905.SH,alpha022,0.07790345116075362,1218,2016-01-04,2020-12-31,0.07790345116075362
000905.SH,alpha050,-0.07734489832587121,1218,2016-01-04,2020-12-31,0.07734489832587121
000140.SH,alpha044,0.07687330217877181,1218,2016-01-04,2020-12-31,0.07687330217877181
Au9999.SGE,alpha019,0.0762710762149444,1014,2016-11-07,2020-12-31,0.0762710762149444
000928.SH,alpha065,-0.0750564582007293,1218,2016-01-04,2020-12-31,0.0750564582007293
Au9999.SGE,alpha027,0.0747330314464697,1218,2016-01-04,2020-12-31,0.0747330314464697
000928.SH,alpha015,0.07470541747673522,1218,2016-01-04,2020-12-31,0.07470541747673522
932000.CSI,alpha032,0.07458509915456679,1154,2016-01-04,2020-09-24,0.07458509915456679
000905.SH,alpha054,0.07443455477973983,1218,2016-01-04,2020-12-31,0.07443455477973983
000905.SH,alpha084,0.07351740298583208,1218,2016-01-04,2020-12-31,0.07351740298583208
Au9999.SGE,alpha094,0.07288546597480812,1218,2016-01-04,2020-12-31,0.07288546597480812
000905.SH,alpha064,-0.06834835966533453,1218,2016-01-04,2020-12-31,0.06834835966533453
000928.SH,alpha074,0.06768534776255923,1218,2016-01-04,2020-12-31,0.06768534776255923
930050.CSI,alpha054,0.06502582325289838,1218,2016-01-04,2020-12-31,0.06502582325289838
930050.CSI,alpha007,-0.06394315154264364,1151,2016-01-04,2020-12-31,0.06394315154264364
930050.CSI,alpha002,-0.06320951800436919,1218,2016-01-04,2020-12-31,0.06320951800436919
000300.SH,alpha032,0.06296729910978781,789,2017-10-10,2020-12-31,0.06296729910978781
000905.SH,alpha013,-0.06277411503203739,1218,2016-01-04,2020-12-31,0.06277411503203739
